SampleID,Target
pair1,1.0
pair2,1.0
pair3,-1.0
pair4,-1.0
pair5,1.0
pair6,1.0
pair7,1.0
pair8,-1.0
pair9,1.0
pair10,-1.0
pair11,1.0
pair12,-1.0
pair13,-1.0
pair14,-1.0
pair15,1.0
pair16,-1.0
pair17,-1.0
pair18,1.0
pair19,1.0
pair20,-1.0
pair21,1.0
pair22,-1.0
pair23,1.0
pair24,1.0
pair25,-1.0
pair26,-1.0
pair27,1.0
pair28,-1.0
pair29,1.0
pair30,-1.0
pair31,-1.0
pair32,1.0
pair33,1.0
pair34,-1.0
pair35,-1.0
pair36,1.0
pair37,-1.0
pair38,-1.0
pair39,1.0
pair40,-1.0
pair41,1.0
pair42,1.0
pair43,1.0
pair44,1.0
pair45,-1.0
pair46,1.0
pair47,-1.0
pair48,1.0
pair49,1.0
pair50,-1.0
pair51,-1.0
pair52,1.0
pair53,-1.0
pair54,-1.0
pair55,1.0
pair56,-1.0
pair57,1.0
pair58,-1.0
pair59,-1.0
pair60,-1.0
pair61,-1.0
pair62,1.0
pair63,-1.0
pair64,1.0
pair65,-1.0
pair66,1.0
pair67,1.0
pair68,-1.0
pair69,1.0
pair70,1.0
pair71,-1.0
pair72,1.0
pair73,-1.0
pair74,1.0
pair75,1.0
pair76,-1.0
pair77,1.0
pair78,1.0
pair79,-1.0
pair80,1.0
pair81,-1.0
pair82,-1.0
pair83,1.0
pair84,-1.0
pair85,1.0
pair86,1.0
pair87,1.0
pair88,-1.0
pair89,1.0
pair90,-1.0
pair91,1.0
pair92,-1.0
pair93,1.0
pair94,-1.0
pair95,1.0
pair96,-1.0
pair97,1.0
pair98,-1.0
pair99,-1.0
pair100,-1.0
pair101,-1.0
pair102,1.0
pair103,-1.0
pair104,-1.0
pair105,1.0
pair106,1.0
pair107,-1.0
pair108,1.0
pair109,-1.0
pair110,-1.0
pair111,-1.0
pair112,-1.0
pair113,1.0
pair114,-1.0
pair115,-1.0
pair116,1.0
pair117,-1.0
pair118,1.0
pair119,-1.0
pair120,1.0
pair121,-1.0
pair122,1.0
pair123,-1.0
pair124,1.0
pair125,-1.0
pair126,1.0
pair127,-1.0
pair128,-1.0
pair129,1.0
pair130,-1.0
pair131,1.0
pair132,-1.0
pair133,1.0
pair134,-1.0
pair135,1.0
pair136,1.0
pair137,1.0
pair138,-1.0
pair139,1.0
pair140,1.0
pair141,-1.0
pair142,1.0
pair143,1.0
pair144,-1.0
pair145,1.0
pair146,-1.0
pair147,-1.0
pair148,-1.0
pair149,1.0
pair150,-1.0
pair151,1.0
pair152,-1.0
pair153,1.0
pair154,-1.0
pair155,-1.0
pair156,1.0
pair157,-1.0
pair158,1.0
pair159,-1.0
pair160,1.0
pair161,-1.0
pair162,1.0
pair163,1.0
pair164,-1.0
pair165,-1.0
pair166,1.0
pair167,-1.0
pair168,1.0
pair169,-1.0
pair170,1.0
pair171,-1.0
pair172,1.0
pair173,-1.0
pair174,1.0
pair175,1.0
pair176,-1.0
pair177,1.0
pair178,-1.0
pair179,1.0
pair180,1.0
pair181,-1.0
pair182,-1.0
pair183,1.0
pair184,-1.0
pair185,1.0
pair186,-1.0
pair187,1.0
pair188,-1.0
pair189,1.0
pair190,-1.0
pair191,1.0
pair192,-1.0
pair193,1.0
pair194,-1.0
pair195,1.0
pair196,-1.0
pair197,1.0
pair198,1.0
pair199,-1.0
pair200,1.0
pair201,-1.0
pair202,1.0
pair203,-1.0
pair204,1.0
pair205,-1.0
pair206,1.0
pair207,-1.0
pair208,-1.0
pair209,1.0
pair210,-1.0
pair211,1.0
pair212,1.0
pair213,1.0
pair214,1.0
pair215,-1.0
pair216,-1.0
pair217,1.0
pair218,1.0
pair219,1.0
pair220,-1.0
pair221,-1.0
pair222,-1.0
pair223,1.0
pair224,1.0
pair225,1.0
pair226,-1.0
pair227,1.0
pair228,-1.0
pair229,1.0
pair230,-1.0
pair231,1.0
pair232,-1.0
pair233,1.0
pair234,-1.0
pair235,1.0
pair236,1.0
pair237,-1.0
pair238,1.0
pair239,-1.0
pair240,1.0
pair241,-1.0
pair242,1.0
pair243,-1.0
pair244,1.0
pair245,-1.0
pair246,1.0
pair247,-1.0
pair248,1.0
pair249,-1.0
pair250,1.0
pair251,-1.0
pair252,-1.0
pair253,1.0
pair254,-1.0
pair255,-1.0
pair256,1.0
pair257,-1.0
pair258,-1.0
pair259,1.0
pair260,-1.0
pair261,-1.0
pair262,1.0
pair263,-1.0
pair264,1.0
pair265,-1.0
pair266,1.0
pair267,-1.0
pair268,1.0
pair269,-1.0
pair270,-1.0
pair271,1.0
pair272,-1.0
pair273,-1.0
pair274,1.0
pair275,-1.0
pair276,-1.0
pair277,1.0
pair278,1.0
pair279,-1.0
pair280,1.0
pair281,-1.0
pair282,1.0
pair283,1.0
pair284,-1.0
pair285,-1.0
pair286,1.0
pair287,-1.0
pair288,1.0
pair289,1.0
pair290,1.0
pair291,-1.0
pair292,1.0
pair293,-1.0
pair294,1.0
pair295,-1.0
pair296,1.0
pair297,-1.0
pair298,1.0
pair299,-1.0
pair300,1.0
